Source,Target
ZNF215,ZNF585B
ZNF215,ZSCAN4
HNF4A,SCML4
HNF4A,USF3
HNF4A,PGR
HNF4A,NR1H4
HNF4A,TCF21
HNF4A,TBX22
HNF4A,ZNF215
HNF4A,IKZF1
HNF4A,TBX1
HNF4A,HOXD10
HNF4A,PHOX2B
HNF4A,RARG
HNF4A,ZNF560
HNF4A,OTP
HNF4A,ZNF750
HNF4A,TEF
HNF4A,ZNF518B
HNF4A,ZBTB10
HNF4A,ZNF28
HNF4A,HOXD3
HNF4A,SP7
HNF4A,VENTX
HNF4A,ZNF181
HNF4A,NFIX
HNF4A,MYB
HNF4A,ZFP57
HNF4A,POU1F1
HNF4A,ZNF800
HNF4A,TFAP2A
HNF4A,ZIM3
HNF4A,ZBED2
HNF4A,MBD2
HNF4A,RREB1
HNF4A,IKZF3
HNF4A,HOXD10
HNF4A,ZNF625
HNF4A,TBX3
HNF4A,TP63
HNF4A,RARB
HNF4A,ISX
HNF4A,NR1I3
HNF4A,ZNF280A
HNF4A,ZSCAN12
HNF4A,PAX3
HNF4A,ZKSCAN3
HNF4A,TBX18
HNF4A,HOXB1
HNF4A,ZNF672
HNF4A,ZNF492
HNF4A,TFAP2A
HNF4A,SRCAP
HNF4A,PRDM14
HNF4A,TCF21
HNF4A,ZNF429
HNF4A,ZNF391
HNF4A,HOXD12
HNF4A,ZNF316
HNF4A,TLX3
HNF4A,LHX4
HNF4A,JRK
HNF4A,NCOA3
HNF4A,PAX3
HNF4A,HOXD3
HNF4A,NEUROG1
HNF4A,PAX9
HNF4A,IRF4
HNF4A,ZSCAN30
HNF4A,HOXA11
HNF4A,PRDM13
HNF4A,HOXA13
HNF4A,ZNF543
HNF4A,NR5A2
HNF4A,SCML4
HNF4A,NR1I2
HNF4A,NR2F2
HNF4A,SNAI3
HNF4A,TCF21
HNF4A,SHOX
HNF4A,USF3
HNF4A,ZNF578
HNF4A,NR1H4
HNF4A,ZNF777
HNF4A,HOXD13
HNF4A,ZNF99
HNF4A,TBX5
HNF4A,SKIL
HNF4A,NPAS4
HNF4A,TBX1
HNF4A,SMAD4
HNF4A,ZSCAN23
HNF4A,IKZF1
HNF4A,ZNF710
HNF4A,RREB1
HNF4A,PROX2
HNF4A,ONECUT1
HNF4A,PAX9
HNF4A,ONECUT2
HNF4A,SIM1
HNF4A,SIX1
HNF4A,SOX5
HNF4A,IRF4
HNF4A,NEUROD4
HNF4A,HOXA1
HNF4A,NR1I3
HNF4A,PAX4
HNF4A,ZNF443
HNF4A,NKX2-1
HNF4A,KLF14
HNF4A,SCML4
HNF4A,MEOX2
HNF4A,HOXB8
HNF4A,POU3F4
HNF4A,HOXA13
HNF4A,ZNF804B
HNF4A,HOXD4
HNF4A,ZFP1
HNF4A,RREB1
HNF4A,PITX1
HNF4A,POU2F3
HNF4A,ZFP42
HNF4A,NR2F6
HNF4A,ZNF583
HNF4A,MKX
HNF4A,TBX20
HNF4A,HOXD13
HNF4A,SHOX2
HNF4A,REPIN1
HNF4A,NFKB2
HNF4A,MYNN
HNF4A,PRDM15
HNF4A,HOXA13
HNF4A,NR5A2
HNF4A,LBX1
HNF4A,ZBTB24
HNF4A,ZNF705G
HNF4A,ZNF771
HNF4A,ZNF214
HNF4A,NFATC2
HNF4A,HOXB8
HNF4A,PATZ1
HNF4A,IRF6
HNF4A,ZNF324B
HNF4A,ZNF572
HNF4A,ZNF33B
HNF4A,NKX3-2
HNF4A,RAG1
HNF4A,ZNF782
HNF4A,ZKSCAN3
HNF4A,SP140L
HNF4A,SPZ1
HNF4A,TBX3
HNF4A,ZNF214
HNF4A,TFAP2B
HNF4A,HOXD8
